SampleID,SRA.ID,Genus,Species,Island,depth,BioProject,SRA.Study
acutirostris_Genovesa_101,DG101,Geospiza,acutirostris,Genovesa,12.3,PRJNA263122,SRP048643
acutirostris_Genovesa_103,DG103,Geospiza,acutirostris,Genovesa,10.3,PRJNA263122,SRP048643
acutirostris_Genovesa_107,DG107,Geospiza,acutirostris,Genovesa,10.6,PRJNA263122,SRP048643
acutirostris_Genovesa_108,DG108,Geospiza,acutirostris,Genovesa,12.6,PRJNA263122,SRP048643
noctis_Barbados_1,L1,Loxgilla,barbadensis,Barbados,7.8,PRJNA263122,SRP048643
noctis_Barbados_2,L2,Loxgilla,barbadensis,Barbados,7.8,PRJNA263122,SRP048643
noctis_Barbados_3,L3,Loxgilla,barbadensis,Barbados,7.4,PRJNA263122,SRP048643
noctis_Barbados_6,L6,Loxgilla,barbadensis,Barbados,9.4,PRJNA263122,SRP048643
noctis_Barbados_7,L7,Loxgilla,barbadensis,Barbados,7.2,PRJNA263122,SRP048643
bicolor_Barbados_1,T1,Tiaris,bicolor,Barbados,7.7,PRJNA263122,SRP048643
bicolor_Barbados_2,T2,Tiaris,bicolor,Barbados,6.6,PRJNA263122,SRP048643
bicolor_Barbados_3,T3,Tiaris,bicolor,Barbados,5,PRJNA263122,SRP048643
conirostris_Espanola_1,CE1,Geospiza,conirostris,Espanola,15.3,PRJNA263122,SRP048643
conirostris_Espanola_10,CE10,Geospiza,conirostris,Espanola,11.2,PRJNA263122,SRP048643
conirostris_Espanola_2,CE2,Geospiza,conirostris,Espanola,15.5,PRJNA263122,SRP048643
conirostris_Espanola_3,CE3,Geospiza,conirostris,Espanola,32.3,PRJNA263122,SRP048643
conirostris_Espanola_4,CE4,Geospiza,conirostris,Espanola,14.9,PRJNA263122,SRP048643
conirostris_Espanola_5,CE5,Geospiza,conirostris,Espanola,17.5,PRJNA263122,SRP048643
conirostris_Espanola_6,CE6,Geospiza,conirostris,Espanola,17.2,PRJNA263122,SRP048643
conirostris_Espanola_7,CE7,Geospiza,conirostris,Espanola,10.3,PRJNA263122,SRP048643
conirostris_Espanola_8,CE8,Geospiza,conirostris,Espanola,12.6,PRJNA263122,SRP048643
conirostris_Espanola_9,CE9,Geospiza,conirostris,Espanola,17,PRJNA263122,SRP048643
crassirostris_SantaCruz_5,PL15,Platyspiza,crassirostris,Santa_Cruz,8.9,PRJNA263122,SRP048643
crassirostris_SantaCruz_6,PL16,Platyspiza,crassirostris,Santa_Cruz,9.5,PRJNA263122,SRP048643
crassirostris_SantaCruz_4,PL4,Platyspiza,crassirostris,Santa_Cruz,16,PRJNA263122,SRP048643
crassirostris_SantaCruz_7,PL7,Platyspiza,crassirostris,Santa_Cruz,9.8,PRJNA263122,SRP048643
crassirostris_SantaCruz_9,PL9,Platyspiza,crassirostris,Santa_Cruz,9.4,PRJNA263122,SRP048643
difficilis_Fernandina_1,DF1,Geospiza,difficilis,Fernandina,13.8,PRJNA263122,SRP048643
difficilis_Fernandina_2,DF2,Geospiza,difficilis,Fernandina,9.1,PRJNA263122,SRP048643
difficilis_Pinta_10,DP10,Geospiza,difficilis,Pinta,9.4,PRJNA263122,SRP048643
difficilis_Pinta_11,DP11,Geospiza,difficilis,Pinta,9.7,PRJNA263122,SRP048643
difficilis_Pinta_13,DP13,Geospiza,difficilis,Pinta,10.4,PRJNA263122,SRP048643
difficilis_Pinta_2,DP2,Geospiza,difficilis,Pinta,8.7,PRJNA263122,SRP048643
difficilis_Pinta_3,DP3,Geospiza,difficilis,Pinta,12.4,PRJNA263122,SRP048643
difficilis_Pinta_4,DP4,Geospiza,difficilis,Pinta,11.5,PRJNA263122,SRP048643
difficilis_Pinta_5,DP5,Geospiza,difficilis,Pinta,9.2,PRJNA263122,SRP048643
difficilis_Pinta_6,DP6,Geospiza,difficilis,Pinta,10,PRJNA263122,SRP048643
difficilis_Pinta_7,DP7,Geospiza,difficilis,Pinta,31.7,PRJNA263122,SRP048643
difficilis_Pinta_9,DP9,Geospiza,difficilis,Pinta,8.7,PRJNA263122,SRP048643
difficilis_Santiago_1,DS1,Geospiza,difficilis,Santiago,12.2,PRJNA263122,SRP048643
difficilis_Santiago_14,DS14,Geospiza,difficilis,Santiago,12.5,PRJNA263122,SRP048643
fuliginosa_SantaCruz_15,fulig15,Geospiza,fuliginosa,Santa_Cruz,8.6,PRJNA263122,SRP048643
fusca_Espanola_1,CfE1,Certhidea,fusca,Espanola,10.4,PRJNA263122,SRP048643
fusca_Espanola_10,CfE10,Certhidea,fusca,Espanola,9.2,PRJNA263122,SRP048643
fusca_Espanola_2,CfE2,Certhidea,fusca,Espanola,10.4,PRJNA263122,SRP048643
fusca_Espanola_3,CfE3,Certhidea,fusca,Espanola,7.8,PRJNA263122,SRP048643
fusca_Espanola_4,CfE4,Certhidea,fusca,Espanola,10.5,PRJNA263122,SRP048643
fusca_Espanola_5,CfE5,Certhidea,fusca,Espanola,10.3,PRJNA263122,SRP048643
fusca_Espanola_6,CfE6,Certhidea,fusca,Espanola,11.6,PRJNA263122,SRP048643
fusca_Espanola_7,CfE7,Certhidea,fusca,Espanola,12.6,PRJNA263122,SRP048643
fusca_Espanola_8,CfE8,Certhidea,fusca,Espanola,11.4,PRJNA263122,SRP048643
fusca_Espanola_9,CfE9,Certhidea,fusca,Espanola,10.9,PRJNA263122,SRP048643
fusca_SanCristobal_1,Cfc1,Certhidea,fusca,SanCristobal,9.7,PRJNA263122,SRP048643
fusca_SanCristobal_10,Cfc10,Certhidea,fusca,SanCristobal,12.1,PRJNA263122,SRP048643
fusca_SanCristobal_2,Cfc2,Certhidea,fusca,SanCristobal,11.3,PRJNA263122,SRP048643
