chr	start.pos	end.pos	loci.no
chr1	61944974	62649841	1
chr1A	30958319	31149500	2
chr1A	32232902	34354642	3
chr1A	34762546	35119873	4
chr1A	35309457	36177897	5
chr1A	40185695	40486559	6
chr1A	40692203	42199937	7
chr1A	43517334	44118538	8
chr1A	50787096	50899028	9
chr2	11194673	11238327	10
chr2	12512934	13147028	11
chr2	13250350	14056003	12
chr2	14182787	16876780	13
chr2	17920969	18525283	14
chr2	21655940	22509922	15
chr2	22615848	24084581	16
chr2	30969202	31806444	17
chr2	83157700	83852730	18
chr2	85758212	86543233	19
chr2	126576261	127132941	20
chr3	34949123	35135050	21
chr3	39317179	40452081	22
chr3	60260559	61096921	23
chr3	107149715	108074093	24
chr5	46658094	47174629	25
chr7	22542354	23731453	26
chr9	9783457	10598930	27
chr25	2489769	2662348	28
